date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:00:42	13243/13243	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2233bb-lXMUfzKHj/mJhExPYESvg9AKO7Y%22	https://writter.electronthemes-ghost.com/membership/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/membership/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:00:44%20GMT	https://casper.ghost.org/v2.0.0/images/writing-posts-with-ghost.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/writing-posts-with-ghost.7.delayed	(from https://writter.electronthemes-ghost.com/)
18:00:43	26245/26245	---MCZ	200	added ('OK')	text/html	etag:W/%226685-1tfLbY8hbh22/PR8NSnSyhQl/8o%22	https://writter.electronthemes-ghost.com/how-to-write-kickass-articles/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/how-to-write-kickass-articles/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:43	110980/110980	---M--	200	added ('OK')	image/jpeg	etag:W/%221b184-1792df1ec18%22	https://writter.electronthemes-ghost.com/content/images/2018/09/3.jpeg	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/content/images/2018/09/3.jpg	(from https://writter.electronthemes-ghost.com/)
18:00:43	27182/27182	---MCZ	200	added ('OK')	text/html	etag:W/%226a2e-0F5rk1h1rBHWJayYiXV8pw+bqXA%22	https://writter.electronthemes-ghost.com/beautiful-day-with-friends-in-paris/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/beautiful-day-with-friends-in-paris/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:44	156098/156098	---M--	200	added ('OK')	image/jpeg	etag:%22609025ba-261c2%22	https://static.ghost.org/v2.0.0/images/writing-posts-with-ghost.jpg	C:/My%20Web%20Sites/turji/static.ghost.org/v2.0.0/images/writing-posts-with-ghost.jpg	(from https://writter.electronthemes-ghost.com/)
18:00:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2010%20Aug%202021%2012:00:45%20GMT	https://casper.ghost.org/v2.0.0/images/app-integrations.jpg	C:/My%20Web%20Sites/turji/casper.ghost.org/v2.0.0/images/app-integrations.jpg	(from https://writter.electronthemes-ghost.com/)
18:00:44	32363/32363	---MCZ	200	added ('OK')	text/html	etag:W/%227e6b-qCgu4C1V2/UqSZJyIutxCxfeEmo%22	https://writter.electronthemes-ghost.com/tag/getting-started/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/tag/getting-started/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:45	26222/26222	---MCZ	200	added ('OK')	text/html	etag:W/%22666e-1uHo9iAlGR2YiTJMj/7rKfh3wo4%22	https://writter.electronthemes-ghost.com/the-editor-2/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/the-editor-2/index.html	(from https://writter.electronthemes-ghost.com/)
18:00:45	486962/486962	---M--	200	added ('OK')	image/jpeg	etag:%22609025ba-76e32%22	https://static.ghost.org/v2.0.0/images/app-integrations.jpg	C:/My%20Web%20Sites/turji/static.ghost.org/v2.0.0/images/app-integrations.jpg	(from https://writter.electronthemes-ghost.com/)
18:00:45	699423/699423	---M--	200	added ('OK')	image/png	etag:%22609025ba-aac1f%22	https://static.ghost.org/v4.0.0/images/publishing-options.png	C:/My%20Web%20Sites/turji/static.ghost.org/v4.0.0/images/publishing-options.png	(from https://writter.electronthemes-ghost.com/)
18:00:45	26777/26777	---MCZ	200	added ('OK')	text/html	etag:W/%226899-C3szGXQHG0ZoKh8fOVOcQSEccsA%22	https://writter.electronthemes-ghost.com/apps-integrations-2/	C:/My%20Web%20Sites/turji/writter.electronthemes-ghost.com/apps-integrations-2/index.html	(from https://writter.electronthemes-ghost.com/)
